file_path|duration_us|start_idx|end_idx
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_209\Pulse_11.wav|85.07|45|94
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_803\Pulse_5.wav|72.92|46|88
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_024\Pulse_4.wav|114.58|50|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_167\Pulse_69.wav|118.06|47|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_460\Pulse_27.wav|116.32|48|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_321\Pulse_102.wav|31.25|50|68
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_065\Pulse_36.wav|97.22|51|107
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_384\Pulse_44.wav|116.32|48|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_424\Pulse_11.wav|107.64|54|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_353\Pulse_7.wav|114.58|49|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_485\Pulse_16.wav|90.28|61|113
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_168\Pulse_56.wav|109.38|41|104
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_231\Pulse_23.wav|116.32|48|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_223\Pulse_57.wav|81.60|48|95
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_328\Pulse_10.wav|65.97|45|83
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_438\Pulse_22.wav|118.06|47|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_675\Pulse_1.wav|71.18|35|76
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_505\Pulse_1.wav|76.39|43|87
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_123\Pulse_17.wav|118.06|47|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_718\Pulse_26.wav|59.03|42|76
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_448\Pulse_76.wav|116.32|48|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_398\Pulse_7.wav|116.32|49|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_349\Pulse_48.wav|112.85|45|110
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_554\Pulse_6.wav|43.40|42|67
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_531\Pulse_18.wav|72.92|40|82
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_636\Pulse_11.wav|64.24|44|81
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_713\Pulse_17.wav|86.81|45|95
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_043\Pulse_6.wav|112.85|48|113
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_359\Pulse_53.wav|118.06|47|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_566\Pulse_35.wav|78.12|40|85
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_575\Pulse_6.wav|119.79|46|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_322\Pulse_43.wav|48.61|46|74
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_041\Pulse_22.wav|116.32|48|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_094\Pulse_4.wav|116.32|44|111
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_349\Pulse_67.wav|100.69|45|103
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_304\Pulse_65.wav|112.85|51|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_055\Pulse_23.wav|119.79|46|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_266\Pulse_1.wav|78.12|49|94
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_147\Pulse_2.wav|116.32|49|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_338\Pulse_15.wav|111.11|52|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_294\Pulse_13.wav|112.85|51|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_708\Pulse_2.wav|52.08|46|76
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_781\Pulse_39.wav|81.60|39|86
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_523\Pulse_3.wav|119.79|47|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_534\Pulse_5.wav|100.69|42|100
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_747\Pulse_16.wav|53.82|46|77
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_057\Pulse_42.wav|93.75|62|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_202\Pulse_4.wav|119.79|46|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_378\Pulse_29.wav|83.33|46|94
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_481\Pulse_4.wav|116.32|49|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_131\Pulse_14.wav|118.06|47|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_471\Pulse_7.wav|97.22|51|107
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_641\Pulse_3.wav|118.06|48|116
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_568\Pulse_11.wav|65.97|37|75
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_235\Pulse_17.wav|81.60|49|96
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_180\Pulse_12.wav|111.11|51|115
D:\Project_Github\Indo-Pacific-humpback-dolphin\00_Data\ClickTrains\PulseTrain_460\Pulse_79.wav|118.06|47|115
